year,month,season,state,region,avg_temp_c,max_temp_c,min_temp_c,rainfall_mm,humidity_pct,wind_speed_kmh,sunshine_hrs,heat_index,temp_anomaly_c,el_nino_flag,drought_flag
2000,1,Winter,Assam,Northeast,16.15,26.38,8.55,0.4,61.4,1.51,3.7,26.87,0.06,0,0
2000,2,Winter,Assam,Northeast,16.89,28.49,7.9,0.26,55.09,1.76,4.72,26.79,-2.02,0,1
2000,3,Summer,Assam,Northeast,22.57,36.37,11.7,0.89,52.35,1.8,4.59,24.94,-0.99,0,1
2000,4,Summer,Assam,Northeast,27.17,36.63,16.71,4.44,61.14,1.8,5.05,28.39,0.44,0,0
2000,5,Summer,Assam,Northeast,28.26,40.23,21.12,6.8,70.88,1.55,4.84,31.31,0.25,0,0
2000,6,Monsoon,Assam,Northeast,28.46,36.23,23.66,9.56,81.16,1.48,4.46,33.49,-0.05,0,0
2000,7,Monsoon,Assam,Northeast,28.52,35.02,24.17,5.8,82.42,1.3,5.11,33.9,-0.05,0,0
2000,8,Monsoon,Assam,Northeast,28.05,34.4,23.5,7.34,84.79,1.26,4.38,33.0,-0.47,0,0
2000,9,Monsoon,Assam,Northeast,26.71,34.38,21.33,5.31,85.35,1.15,4.21,29.53,-0.55,0,0
2000,10,Post-Monsoon,Assam,Northeast,25.11,32.1,16.02,2.3,79.53,1.12,4.48,26.06,0.56,0,0
2000,11,Post-Monsoon,Assam,Northeast,20.35,28.94,12.64,0.8,74.41,1.19,3.92,22.41,-0.23,0,0
2000,12,Winter,Assam,Northeast,16.61,26.19,9.77,0.19,64.6,1.26,3.99,25.91,-0.51,0,1
2001,1,Winter,Assam,Northeast,15.22,25.29,7.2,0.09,63.33,1.51,3.61,27.68,-0.87,0,1
2001,2,Winter,Assam,Northeast,19.01,30.62,8.85,1.29,57.27,1.55,4.23,25.14,0.1,0,0
2001,3,Summer,Assam,Northeast,23.17,35.53,12.19,0.67,48.64,1.87,5.61,25.13,-0.39,0,1
2001,4,Summer,Assam,Northeast,27.42,38.12,17.07,3.44,54.75,2.09,5.45,28.19,0.69,0,0
2001,5,Summer,Assam,Northeast,28.32,37.71,20.25,5.44,70.45,1.37,5.28,31.37,0.31,0,0
2001,6,Monsoon,Assam,Northeast,28.3,36.64,22.87,6.15,79.81,1.48,4.94,32.83,-0.21,0,0
2001,7,Monsoon,Assam,Northeast,29.45,37.58,24.32,4.51,76.91,1.37,4.95,35.28,0.88,0,0
2001,8,Monsoon,Assam,Northeast,29.57,37.59,24.21,4.08,77.34,1.22,4.76,35.71,1.05,0,1
2001,9,Monsoon,Assam,Northeast,27.44,33.56,23.27,4.49,81.63,0.97,4.32,30.94,0.18,0,0
2001,10,Post-Monsoon,Assam,Northeast,25.38,33.32,19.35,2.58,77.58,1.15,4.24,26.51,0.83,0,0
2001,11,Post-Monsoon,Assam,Northeast,21.92,31.64,12.87,0.67,71.08,1.19,3.82,23.39,1.34,0,0
2001,12,Winter,Assam,Northeast,17.19,27.9,9.07,0.09,59.42,1.3,3.8,26.12,0.07,0,1
2002,1,Winter,Assam,Northeast,17.25,28.18,8.34,0.31,61.08,1.55,3.47,25.87,1.16,1,0
2002,2,Winter,Assam,Northeast,19.98,32.03,9.08,0.3,50.25,1.62,4.72,25.19,1.07,1,1
2002,3,Summer,Assam,Northeast,24.45,36.62,12.8,1.79,46.84,1.76,5.14,25.57,0.89,1,0
2002,4,Summer,Assam,Northeast,26.63,37.22,16.25,4.93,62.88,1.73,4.55,27.8,-0.1,1,0
2002,5,Summer,Assam,Northeast,27.93,37.84,19.33,5.06,70.6,1.37,5.05,30.61,-0.08,1,0
2002,6,Monsoon,Assam,Northeast,29.26,37.27,22.94,4.89,74.57,1.37,4.25,34.25,0.75,1,0
2002,7,Monsoon,Assam,Northeast,28.49,35.52,23.59,7.99,83.16,1.33,3.67,33.96,-0.08,1,0
2002,8,Monsoon,Assam,Northeast,27.85,34.8,22.88,8.25,84.6,1.22,4.48,32.41,-0.67,1,0
2002,9,Monsoon,Assam,Northeast,27.15,34.77,21.03,3.95,80.8,1.15,4.61,30.16,-0.11,1,0
2002,10,Post-Monsoon,Assam,Northeast,24.45,32.44,16.08,1.24,75.65,1.15,4.54,25.19,-0.1,1,1
2002,11,Post-Monsoon,Assam,Northeast,21.0,30.32,13.34,1.5,73.02,1.3,3.99,22.78,0.42,1,0
2002,12,Winter,Assam,Northeast,17.45,27.31,8.44,0.88,70.0,1.26,3.49,24.15,0.33,1,0
2003,1,Winter,Assam,Northeast,15.36,26.52,7.78,0.17,64.78,1.37,3.45,27.26,-0.73,0,0
2003,2,Winter,Assam,Northeast,19.1,29.62,10.06,0.66,63.47,1.51,4.06,24.4,0.19,0,0
2003,3,Summer,Assam,Northeast,22.44,33.9,10.02,2.19,58.92,1.76,4.56,24.63,-1.12,0,0
2003,4,Summer,Assam,Northeast,27.28,37.15,18.1,3.35,63.73,1.8,4.85,28.76,0.55,0,0
2003,5,Summer,Assam,Northeast,28.67,38.45,20.29,3.98,64.64,1.66,5.31,31.16,0.66,0,0
2003,6,Monsoon,Assam,Northeast,28.7,39.03,23.3,6.93,76.66,1.58,4.4,33.27,0.19,0,0
2003,7,Monsoon,Assam,Northeast,28.55,35.81,24.04,7.77,81.97,1.4,4.69,33.89,-0.02,0,0
2003,8,Monsoon,Assam,Northeast,29.19,36.32,24.03,4.9,79.56,1.15,4.81,35.17,0.67,0,0
2003,9,Monsoon,Assam,Northeast,27.88,33.94,23.16,7.15,81.71,1.12,4.49,32.05,0.62,0,0
2003,10,Post-Monsoon,Assam,Northeast,24.38,31.17,17.92,4.64,84.8,1.08,3.56,24.65,-0.17,0,0
2003,11,Post-Monsoon,Assam,Northeast,19.86,28.35,12.58,0.81,78.09,1.15,4.03,21.58,-0.72,0,0
2003,12,Winter,Assam,Northeast,16.77,26.09,8.22,0.51,74.93,1.33,3.52,23.44,-0.35,0,0
2004,1,Winter,Assam,Northeast,15.74,24.73,6.61,0.22,69.66,1.44,3.59,25.8,-0.35,1,0
2004,2,Winter,Assam,Northeast,18.54,31.16,7.23,0.43,60.78,1.58,4.47,25.01,-0.37,1,0
2004,3,Summer,Assam,Northeast,24.29,36.9,12.7,0.96,56.78,1.91,4.7,25.49,0.73,1,0
2004,4,Summer,Assam,Northeast,25.66,34.04,18.73,9.04,72.58,1.62,3.96,26.88,-1.07,1,0
2004,5,Summer,Assam,Northeast,27.58,35.88,18.45,7.44,74.76,1.55,4.96,30.42,-0.43,1,0
